model,attribute,point,q,threshold,group,n_unsolved,n_selected,share_pop,share_sel,lift,lo,hi,significant
graphsage_fairloss_a100_mb,Victim Race,top_0.025,0.025,0.762698,White,24737,689,0.4500336565575709,0.5010909090909091,1.1134520758378137,1.0555107837037965,1.1746390432104097,True
graphsage_fairloss_a100_mb,Victim Race,top_0.05,0.05,0.711564,Black,30230,1381,0.5499663434424291,0.5023644961804292,0.9134458902265846,0.8811164313927277,0.9473564153869477,True
graphsage_fairloss_a100_mb,Victim Race,top_0.05,0.05,0.711564,White,24737,1368,0.4500336565575709,0.4976355038195708,1.1057739717205135,1.0643334099871677,1.1452823818166247,True
graphsage_fairloss_a100_mb,Victim Race,top_0.1,0.1,0.64927,Black,30230,2782,0.5499663434424291,0.506094233218119,0.9202276452960748,0.8991368940380173,0.9436208551803229,True
graphsage_fairloss_a100_mb,Victim Race,top_0.1,0.1,0.64927,White,24737,2715,0.4500336565575709,0.49390576678188103,1.0974862870477282,1.0688984738609708,1.1232603667878376,True
graphsage_fairloss_a100_mb,Victim Sex,threshold_0.5,0.352234,0.5,Female,10053,4152,0.17669701550251343,0.20718562874251498,1.1725474148688597,1.1481279200068542,1.198222835413219,True
graphsage_fairloss_a100_mb,Victim Sex,threshold_0.5,0.352234,0.5,Male,46841,15888,0.8233029844974865,0.792814371257485,0.9629679306232436,0.9574574803183302,0.9682088345716594,True
graphsage_fairloss_a100_mb,Victim Sex,top_0.005,0.005,0.85494,Female,10053,101,0.17669701550251343,0.3543859649122807,2.005613755865841,1.6919763428591654,2.3229474692955288,True
graphsage_fairloss_a100_mb,Victim Sex,top_0.005,0.005,0.85494,Male,46841,184,0.8233029844974865,0.6456140350877193,0.7841755067628936,0.716069449652485,0.851488265093333,True
graphsage_fairloss_a100_mb,Victim Sex,top_0.01,0.01,0.821096,Female,10053,191,0.17669701550251343,0.335676625659051,1.8997300248926736,1.6878845862700687,2.118629987000514,True
graphsage_fairloss_a100_mb,Victim Sex,top_0.01,0.01,0.821096,Male,46841,378,0.8233029844974865,0.664323374340949,0.80690023824756,0.7599200004415754,0.8523664365454837,True
graphsage_fairloss_a100_mb,Victim Sex,top_0.025,0.025,0.762471,Female,10053,416,0.17669701550251343,0.29234012649332397,1.6544712182145802,1.5283315559445618,1.7818100854304142,True
graphsage_fairloss_a100_mb,Victim Sex,top_0.025,0.025,0.762471,Male,46841,1007,0.8233029844974865,0.707659873506676,0.8595376025979127,0.8322081768358499,0.8866096553892812,True
graphsage_fairloss_a100_mb,Victim Sex,top_0.05,0.05,0.711549,Female,10053,759,0.17669701550251343,0.2667838312829525,1.5098377894173185,1.4188404739754459,1.5998626710331858,True
graphsage_fairloss_a100_mb,Victim Sex,top_0.05,0.05,0.711549,Male,46841,2086,0.8233029844974865,0.7332161687170474,0.8905787814732329,0.8712576710169163,0.9101085953571624,True
graphsage_fairloss_a100_mb,Victim Sex,top_0.1,0.1,0.648992,Female,10053,1427,0.17669701550251343,0.2507908611599297,1.419327091896254,1.3584083010819734,1.4836324134961847,True
graphsage_fairloss_a100_mb,Victim Sex,top_0.1,0.1,0.648992,Male,46841,4263,0.8233029844974865,0.7492091388400703,0.9100041575791926,0.8962029706266487,0.9230785284093618,True
