block_key,min_n,State,City,n,n_unsolved,expected_unsolved,smr,z,p_value,n_priority,white_share,black_share,q_value,flag
county,20,New Jersey,Passaic,955,225,281.0075389220259,0.8006902621300601,-4.0969983696622805,0.00039996000399960006,24,0.543455497382199,0.44293193717277485,0.003984131973542977,warm
county,20,North Carolina,Wake,964,134,182.87645818814343,0.7327351006663783,-4.122008737745261,0.00019998000199980003,48,0.3682572614107884,0.6109958506224067,0.0024037596240375964,warm
county,20,West Virginia,McDowell,120,4,20.959447218046307,0.19084472783976655,-4.147452253885392,0.00019998000199980003,3,0.875,0.11666666666666667,0.0024037596240375964,warm
county,20,Connecticut,New Haven,1569,395,468.24405147101015,0.8435771874924826,-4.154457367873326,0.00019998000199980003,23,0.5270873167622689,0.4391332058636074,0.0024037596240375964,warm
county,20,Arizona,Yuma,208,32,57.72444124189262,0.554357899557744,-4.154965263993752,0.00019998000199980003,2,0.9134615384615384,0.04326923076923077,0.0024037596240375964,warm
county,20,Louisiana,Tangipahoa,253,14,37.24889369730873,0.3758500886970373,-4.175016875500374,0.00019998000199980003,9,0.3359683794466403,0.6521739130434783,0.0024037596240375964,warm
county,20,Ohio,Butler,349,51,83.37586290368738,0.6116878221567944,-4.197490004948093,0.00019998000199980003,11,0.7106017191977078,0.2693409742120344,0.0024037596240375964,warm
county,20,Virginia,Norfolk,1603,282,350.75962551884993,0.80396938382763,-4.224018819669713,0.00019998000199980003,53,0.2014971927635683,0.7822832189644416,0.0024037596240375964,warm
county,20,North Carolina,Gaston,510,68,105.64707055311075,0.6436524897849878,-4.252039455601258,0.00019998000199980003,22,0.611764705882353,0.37254901960784315,0.0024037596240375964,warm
county,20,Maryland,Anne Arundel,634,129,175.6103313922758,0.7345809268581225,-4.252104459825767,0.00019998000199980003,16,0.5252365930599369,0.44952681388012616,0.0024037596240375964,warm
county,20,California,El Dorado,219,36,64.2369939243455,0.5604247303726363,-4.276898981276917,0.00019998000199980003,1,0.91324200913242,0.0182648401826484,0.0024037596240375964,warm
county,20,Florida,Brevard,667,123,169.92570984331232,0.7238457330171973,-4.277929993676524,0.00019998000199980003,22,0.6596701649175413,0.32983508245877063,0.0024037596240375964,warm
county,20,Massachusetts,Plymouth,324,84,120.43164161991734,0.6974911150435388,-4.30876862111404,0.00019998000199980003,1,0.5,0.41358024691358025,0.0024037596240375964,warm
county,20,New Mexico,Eddy,89,10,28.50494326407663,0.3508163446374056,-4.3218543909106035,0.00019998000199980003,0,0.9438202247191011,0.0449438202247191,0.0024037596240375964,warm
county,20,California,Humboldt,274,48,79.85446456089241,0.6010935050901001,-4.324672610921953,0.00019998000199980003,3,0.7956204379562044,0.040145985401459854,0.0024037596240375964,warm
county,20,California,Placer,208,32,60.08157653958021,0.532609193084659,-4.378297758890931,0.00019998000199980003,1,0.9423076923076923,0.019230769230769232,0.0024037596240375964,warm
county,20,California,Butte,326,64,99.72666375527095,0.6417541466849416,-4.391976177015976,0.00019998000199980003,2,0.8588957055214724,0.0705521472392638,0.0024037596240375964,warm
county,20,Louisiana,Rapides,438,59,96.27651197545225,0.612818212764535,-4.401542669390091,0.00019998000199980003,25,0.3287671232876712,0.6643835616438356,0.0024037596240375964,warm
county,20,Indiana,Vanderburgh,269,35,65.40997046633774,0.5350866198298044,-4.4111775366604125,0.00019998000199980003,4,0.6654275092936803,0.32342007434944237,0.0024037596240375964,warm
county,20,Ohio,Summit,806,163,216.76728341052993,0.7519584940837153,-4.414535019946758,0.00019998000199980003,21,0.4441687344913151,0.5409429280397022,0.0024037596240375964,warm
county,20,Georgia,Bibb,745,132,183.61242084963266,0.7189056131888808,-4.4727548503040655,0.00019998000199980003,20,0.1959731543624161,0.7919463087248322,0.0024037596240375964,warm
county,20,Arizona,Mohave,348,58,94.12485873671059,0.6162027840300899,-4.487891050082948,0.00019998000199980003,4,0.9568965517241379,0.014367816091954023,0.0024037596240375964,warm
county,20,California,Sonoma,511,113,159.59324230015565,0.7080500300098846,-4.54015690386807,0.00019998000199980003,3,0.8943248532289628,0.03913894324853229,0.0024037596240375964,warm
county,20,Colorado,Jefferson,369,52,87.70815863373168,0.5928752901671489,-4.540681645044611,0.00019998000199980003,5,0.9186991869918699,0.051490514905149054,0.0024037596240375964,warm
county,20,Louisiana,Bossier,235,22,50.10883094195076,0.4390443677579745,-4.572051912840181,0.00019998000199980003,5,0.5106382978723404,0.4723404255319149,0.0024037596240375964,warm
county,20,New Mexico,Curry,88,11,31.21407063018129,0.3524051742666321,-4.588928526171461,0.00019998000199980003,0,0.7954545454545454,0.19318181818181818,0.0024037596240375964,warm
county,20,Georgia,Floyd,203,22,49.67107929510297,0.4429136695277922,-4.641182446148178,0.00019998000199980003,4,0.5665024630541872,0.41379310344827586,0.0024037596240375964,warm
county,20,Oregon,Marion,377,53,90.61138605048305,0.5849154538975012,-4.657001450472072,0.00019998000199980003,10,0.9230769230769231,0.029177718832891247,0.0024037596240375964,warm
