State,City,E_Black,E_White,O_Black,O_White,V_Black,V_White,n_Black,n_White,smr_Black,z_Black,smr_White,z_White,rho,rho_var,d_z,n_both,black_share_both,min_race_n
Florida,Hendry,7.1278600764301,19.119062569449696,6.0,17.0,5.360222850813687,13.717652910087956,34.0,82.0,0.8521393857347803,-0.4871512272994717,0.8919896115347812,-0.572142059988045,-0.0457043745219001,0.1430301681073864,0.08499083268857333,116.0,0.29310344827586204,20
Florida,Hernando,6.45861381513651,32.29305396987533,4.0,14.0,4.745175084573632,23.64519320221149,29.0,143.0,0.6466805199350931,-1.1286627628788597,0.44216680804783015,-3.7619652728361967,0.3801651810838936,0.13642963181376933,2.6333025099573373,172.0,0.1686046511627907,20
Florida,Highlands,14.210015005719537,22.151213632070906,17.0,15.0,10.645378761145274,15.87363710500396,63.0,95.0,1.1896656796879992,0.8551086671861228,0.6842900451944967,-1.7949052523358608,0.553045734771607,0.08507012226910989,2.6500139195219834,158.0,0.3987341772151899,20
Florida,Hillsborough,259.3897101957621,409.34074715996223,259.0,381.0,184.32153007735613,280.63172735741153,1042.0,1535.0,0.9985004785473478,-0.02870474774590496,0.9308493668422365,-1.6917761993971834,0.0701571650974451,0.004414310312940348,1.6630714516512783,2577.0,0.40434613892122623,20
Florida,Indian River,15.610887501927175,18.747757457364237,12.0,17.0,11.680210197554096,13.479617089119584,69.0,81.0,0.7758728374526083,-1.056546532098081,0.909196826631066,-0.4760388376503411,-0.1585729641922227,0.0862798754006214,-0.5805076944477399,150.0,0.46,20
Florida,Jackson,7.213186412482328,9.961649993195131,7.0,8.0,5.524852954168412,7.472674649880362,37.0,47.0,0.9723607856621582,-0.09069830262059751,0.8124913379370269,-0.7176017415985397,0.17962166110897032,0.18148900702856413,0.6269034389779422,84.0,0.44047619047619047,20
Florida,Lake,18.170648332122138,38.01590316077032,16.0,23.0,13.583639892436258,27.313872959680214,83.0,160.0,0.8837400665734987,-0.5889540180094522,0.6101375814013237,-2.8731600309220067,0.37047850204389443,0.060040646518767046,2.2842060129125543,243.0,0.34156378600823045,20
Florida,Lee,79.08367165526067,156.29954334720867,118.0,135.0,57.69345695369815,114.22604720146533,330.0,660.0,1.4889989056211992,5.123521674437853,0.8641606799833333,-1.9929101466468393,0.5441005739917487,0.013900447357569068,7.116431821084692,990.0,0.3333333333333333,20
Florida,Leon,71.69077370119726,33.272670678680996,62.0,24.0,49.072341003278375,23.15138564125491,256.0,121.0,0.8657616035352653,-1.3833754485503422,0.7254386315224288,-1.9271536476236617,0.17683310515639347,0.03046024585441385,0.5437781990733195,377.0,0.6790450928381963,20
Florida,Manatee,40.28888051854501,78.65953348960484,44.0,78.0,29.89409513648727,56.941616315663566,183.0,326.0,1.090983607156556,0.6787537324225881,0.9916682999440434,-0.08740211813239833,0.09544628388649537,0.027619785535428362,0.7661558505549864,509.0,0.35952848722986247,20
