State,City,shr_actual,shr_cleared,ra_actual,ra_cleared,agency_years,ratio_actual,q_shr,q_ra,d
California,Inyo,28,24,25.0,19.0,17,1.12,0.8571428571428571,0.76,-0.09714285714285709
California,Kern,2248,1510,2051.0,1247.0,197,1.0960507069722087,0.6717081850533808,0.6079960994636763,-0.06371208558970454
California,Kings,193,166,181.0,140.0,97,1.0662983425414365,0.8601036269430051,0.7734806629834254,-0.08662296395957969
California,Lake,145,122,138.0,106.0,64,1.0507246376811594,0.8413793103448276,0.7681159420289855,-0.07326336831584213
California,Lassen,53,46,47.0,36.0,33,1.127659574468085,0.8679245283018868,0.7659574468085106,-0.10196708149337619
California,Los Angeles,44502,26695,42268.0,23125.0,2203,1.0528532222958267,0.5998606804188575,0.547104192296773,-0.052756488122084555
California,Madera,325,205,310.0,149.0,73,1.0483870967741935,0.6307692307692307,0.4806451612903226,-0.15012406947890816
California,Marin,170,121,162.0,96.0,90,1.0493827160493827,0.711764705882353,0.5925925925925926,-0.1191721132897604
California,Mariposa,33,27,29.0,21.0,19,1.1379310344827587,0.8181818181818182,0.7241379310344828,-0.09404388714733547
California,Mendocino,217,176,208.0,148.0,68,1.0432692307692308,0.8110599078341014,0.7115384615384616,-0.09952144629563986
California,Merced,546,367,515.0,289.0,136,1.0601941747572816,0.6721611721611722,0.5611650485436893,-0.1109961236174829
California,Modoc,25,24,23.0,19.0,19,1.0869565217391304,0.96,0.8260869565217391,-0.13391304347826083
California,Mono,7,7,6.0,5.0,6,1.1666666666666667,1.0,0.8333333333333334,-0.16666666666666663
California,Monterey,1057,600,1009.0,490.0,228,1.047571853320119,0.5676442762535477,0.48562933597621405,-0.08201494027733369
California,Napa,114,85,108.0,78.0,56,1.0555555555555556,0.7456140350877193,0.7222222222222222,-0.023391812865497075
California,Nevada,105,80,94.0,62.0,41,1.1170212765957446,0.7619047619047619,0.6595744680851063,-0.10233029381965553
California,Orange,3812,2476,3491.0,2351.0,751,1.0919507304497278,0.6495278069254984,0.6734460040103122,0.023918197084813797
California,Placer,208,176,192.0,161.0,78,1.0833333333333333,0.8461538461538461,0.8385416666666666,-0.007612179487179516
California,Plumas,48,41,43.0,36.0,25,1.1162790697674418,0.8541666666666666,0.8372093023255814,-0.01695736434108519
California,Riverside,3875,2684,3550.0,2204.0,581,1.091549295774648,0.6926451612903226,0.6208450704225352,-0.07180009086778738
California,Sacramento,3416,2528,3125.0,2415.0,124,1.09312,0.7400468384074942,0.7728,0.03275316159250585
California,San Benito,73,54,67.0,43.0,41,1.0895522388059702,0.7397260273972602,0.6417910447761194,-0.09793498262114086
California,San Bernardino,5510,3754,5133.0,3315.0,645,1.073446327683616,0.6813067150635209,0.6458211572180012,-0.035485557845519766
California,San Diego,5455,3471,5010.0,3335.0,391,1.0888223552894212,0.6362969752520623,0.6656686626746507,0.029371687422588444
California,San Joaquin,2196,1482,2065.0,1151.0,157,1.0634382566585956,0.674863387978142,0.5573849878934625,-0.11747840008467958
California,San Luis Obispo,230,188,213.0,166.0,104,1.07981220657277,0.8173913043478261,0.7793427230046949,-0.03804858134313127
California,San Mateo,952,581,903.0,435.0,324,1.054263565891473,0.6102941176470589,0.48172757475083056,-0.12856654289622832
California,Santa Barbara,443,373,416.0,322.0,148,1.0649038461538463,0.8419864559819413,0.7740384615384616,-0.06794799444347976
