attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,signed_as,gap_a,gap_b
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a5_sstate20_mb,fpr,gap,0.03296398535250056,0.028543415269445285,0.037084976175764915,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a5_sstate20_mb,fpr,amplification,0.49878687946539146,0.4267738777645546,0.5697517012181949,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a5_sstate20_mb,selection_rate,signed_gap,-0.027590029889665968,-0.029829751735926592,-0.025460943747871806,True,State,51,39,100,182377,Black-White,-0.1029455690793667,-0.07535553918970073
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a5_sstate20_mb,tpr,signed_gap,-0.0258447728412714,-0.02841704854626755,-0.023296108617930477,True,State,51,39,100,182377,Black-White,-0.08725125351451068,-0.06140648067323928
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a5_sstate20_mb,fpr,signed_gap,-0.03296398535250056,-0.037084976175764915,-0.028543415269445285,True,State,51,39,100,182377,Black-White,-0.09078818951497997,-0.05782420416247941
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_sstate20_mb,selection_rate,gap,0.05025424576396742,0.04790176694634203,0.05266831818822459,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_sstate20_mb,selection_rate,amplification,0.7604104344924034,0.7026275895277545,0.8248122693364783,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_sstate20_mb,tpr,gap,0.0475332103923618,0.044570151770395736,0.05046853029437979,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_sstate20_mb,tpr,amplification,0.7192377204711856,0.6562479654319893,0.7904356456464878,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_sstate20_mb,fpr,gap,0.058369248776892146,0.05374690448160879,0.06354117055744044,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_sstate20_mb,fpr,amplification,0.8832007156548701,0.7971511852774227,0.9904145682912086,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_sstate20_mb,selection_rate,signed_gap,-0.05025424576396742,-0.05266831818822459,-0.04790176694634203,True,State,51,39,100,182377,Black-White,-0.1029455690793667,-0.052691323315399274
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_sstate20_mb,tpr,signed_gap,-0.0475332103923618,-0.05046853029437979,-0.044570151770395736,True,State,51,39,100,182377,Black-White,-0.08725125351451068,-0.03971804312214888
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_sstate20_mb,fpr,signed_gap,-0.058369248776892146,-0.06354117055744044,-0.05374690448160879,True,State,51,39,100,182377,Black-White,-0.09078818951497997,-0.03241894073808782
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_sstate20_mb,selection_rate,gap,0.06296327512578981,0.060486676935108376,0.06549594539058538,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_sstate20_mb,selection_rate,amplification,0.9527141571348647,0.8857771321939715,1.0320455367386354,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_sstate20_mb,tpr,gap,0.061846778813716585,0.058780590706947244,0.06485343632671253,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_sstate20_mb,tpr,amplification,0.9358201528001802,0.8625155494217329,1.0229196389698236,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_sstate20_mb,fpr,gap,0.06604590740158667,0.06068522725241251,0.07126945289889221,True,State,51,39,100,182377,,,
