attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,signed_as,gap_a,gap_b
Victim Race,named_n>=5000,graphsage_geo_mb,graphsage_fairloss_a100_mb,fpr,signed_gap,-0.1014448665258213,-0.10807920741046069,-0.0951726702652678,True,State,51,39,100,182377,Black-White,-0.1404079208156619,-0.03896305428984059
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost,selection_rate,gap,-0.023416387979068698,-0.026764882926964606,-0.020231843184374827,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost,selection_rate,amplification,-0.35431962984853627,-0.41580265984139075,-0.3009004505422834,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost,tpr,gap,-0.02559371357722262,-0.029621245919482533,-0.021466310549610804,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost,tpr,amplification,-0.38726532585798257,-0.4598762022711781,-0.3217934895792624,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost,fpr,gap,-0.02269568087483853,-0.029638022436194573,-0.01617279765272994,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost,fpr,amplification,-0.3434144178821006,-0.45832807214929533,-0.23775853321627058,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost,selection_rate,signed_gap,0.023416387979068698,0.020231843184374827,0.026764882926964606,True,State,51,39,100,182377,Black-White,-0.1496632355754971,-0.1730796235545658
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost,tpr,signed_gap,0.02559371357722262,0.021466310549610804,0.029621245919482533,True,State,51,39,100,182377,Black-White,-0.13354167987818666,-0.15913539345540928
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost,fpr,signed_gap,0.02269568087483853,0.01617279765272994,0.029638022436194573,True,State,51,39,100,182377,Black-White,-0.1404079208156619,-0.16310360169050042
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost_blind,selection_rate,gap,0.06371005826463305,0.05995299734058841,0.06751274177231843,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost_blind,selection_rate,amplification,0.9640139325557617,0.8780791771616231,1.0520902095878142,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost_blind,tpr,gap,0.059487599142605596,0.054571734428699024,0.06375597016917717,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost_blind,tpr,amplification,0.9001227741711009,0.8110656282375958,0.9926741138911939,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost_blind,fpr,gap,0.07490916134612458,0.06753162116459757,0.08331187636387419,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost_blind,fpr,amplification,1.1334705567804984,0.9999890117459369,1.2819852222163888,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost_blind,selection_rate,signed_gap,-0.06371005826463305,-0.06751274177231843,-0.05995299734058841,True,State,51,39,100,182377,Black-White,-0.1496632355754971,-0.08595317731086405
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost_blind,tpr,signed_gap,-0.059487599142605596,-0.06375597016917717,-0.054571734428699024,True,State,51,39,100,182377,Black-White,-0.13354167987818666,-0.07405408073558106
Victim Race,named_n>=5000,graphsage_geo_mb,xgboost_blind,fpr,signed_gap,-0.07490916134612458,-0.08331187636387419,-0.06753162116459757,True,State,51,39,100,182377,Black-White,-0.1404079208156619,-0.06549875946953732
Victim Race,named_n>=5000,graphsage_geo_mb,logreg,selection_rate,gap,-0.04452755015170201,-0.048486935211729636,-0.04044512580020292,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,logreg,selection_rate,amplification,-0.6737582714257999,-0.761679273521465,-0.5938596605638773,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,logreg,tpr,gap,-0.060366875213566484,-0.06518994976665958,-0.05529837958372263,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,logreg,tpr,amplification,-0.9134273355866367,-1.0187920133757684,-0.8201690571283742,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,logreg,fpr,gap,-0.034129590864473314,-0.041505096530881684,-0.026123957979497847,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,logreg,fpr,amplification,-0.5164239682393204,-0.6392354931167357,-0.3933000049711294,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,logreg,selection_rate,signed_gap,0.04452755015170201,0.04044512580020292,0.048486935211729636,True,State,51,39,100,182377,Black-White,-0.1496632355754971,-0.1941907857271991
Victim Race,named_n>=5000,graphsage_geo_mb,logreg,tpr,signed_gap,0.060366875213566484,0.05529837958372263,0.06518994976665958,True,State,51,39,100,182377,Black-White,-0.13354167987818666,-0.19390855509175314
Victim Race,named_n>=5000,graphsage_geo_mb,logreg,fpr,signed_gap,0.034129590864473314,0.026123957979497847,0.041505096530881684,True,State,51,39,100,182377,Black-White,-0.1404079208156619,-0.1745375116801352
Victim Race,named_n>=5000,graphsage_geo_mb,logreg_blind,selection_rate,gap,0.07931300457120438,0.07538323025085834,0.08355496676865479,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,logreg_blind,selection_rate,amplification,1.2001062865444583,1.1068869527929217,1.3020550366910313,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,logreg_blind,tpr,gap,0.07137617367010907,0.06632031337461759,0.0764609517786084,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,logreg_blind,tpr,amplification,1.0800119752629638,0.9775916688830505,1.1929075504909687,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,logreg_blind,fpr,gap,0.08269547434962116,0.07470889334021559,0.09104964109191079,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,logreg_blind,fpr,amplification,1.2512873414934016,1.107022636141825,1.4067846261731456,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_mb,logreg_blind,selection_rate,signed_gap,-0.07931300457120438,-0.08355496676865479,-0.07538323025085834,True,State,51,39,100,182377,Black-White,-0.1496632355754971,-0.07035023100429272
Victim Race,named_n>=5000,graphsage_geo_mb,logreg_blind,tpr,signed_gap,-0.07137617367010907,-0.0764609517786084,-0.0663203133746176,True,State,51,39,100,182377,Black-White,-0.13354167987818666,-0.06216550620807759
Victim Race,named_n>=5000,graphsage_geo_mb,logreg_blind,fpr,signed_gap,-0.08269547434962116,-0.09104964109191079,-0.07470889334021559,True,State,51,39,100,182377,Black-White,-0.1404079208156619,-0.057712446466040734
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,selection_rate,gap,-0.005764589643456386,-0.007335361281411451,-0.004138545564996074,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,selection_rate,amplification,-0.08722554778832325,-0.11331893673105754,-0.061237060926753635,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,tpr,gap,-0.00589751778227765,-0.00786670243443984,-0.003968327168853736,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,tpr,amplification,-0.08923691901200237,-0.12055540461875254,-0.05908479276122792,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,fpr,gap,-0.006930205605684137,-0.010215045117566377,-0.0032747565583786846,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,fpr,amplification,-0.10486279468785575,-0.15559176413418385,-0.04881857174841693,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,selection_rate,signed_gap,0.005764589643456386,0.004138545564996074,0.007335361281411451,True,State,51,39,100,182377,Black-White,-0.1029455690793667,-0.10871015872282308
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,tpr,signed_gap,0.00589751778227765,0.0039683271688537355,0.00786670243443984,True,State,51,39,100,182377,Black-White,-0.08725125351451068,-0.09314877129678834
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,fpr,signed_gap,0.006930205605684137,0.0032747565583786846,0.010215045117566377,True,State,51,39,100,182377,Black-White,-0.09078818951497997,-0.0977183951206641
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,selection_rate,gap,0.03088789475651532,0.028243645579011174,0.03343055244407224,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,selection_rate,amplification,0.4673729973517602,0.41838402949621495,0.5202861591247971,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,tpr,gap,0.027879758824512102,0.024488198516242503,0.030992006766632448,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,tpr,amplification,0.4218560879584671,0.36543065374324635,0.47914830614282716,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,fpr,gap,0.03846070522953987,0.03347003655044032,0.04386483167766497,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,fpr,amplification,0.5819592181691474,0.5014936345206066,0.6727093190307746,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,selection_rate,signed_gap,-0.03088789475651532,-0.03343055244407224,-0.028243645579011174,True,State,51,39,100,182377,Black-White,-0.1029455690793667,-0.07205767432285137
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,tpr,signed_gap,-0.027879758824512102,-0.030992006766632448,-0.024488198516242503,True,State,51,39,100,182377,Black-White,-0.08725125351451068,-0.05937149468999858
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,fpr,signed_gap,-0.03846070522953987,-0.04386483167766497,-0.03347003655044032,True,State,51,39,100,182377,Black-White,-0.09078818951497997,-0.052327484285440096
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,selection_rate,gap,0.04316942743845875,0.040356422527708186,0.04572849924283212,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,selection_rate,amplification,0.6532081533855887,0.5916627752925695,0.7108598793115359,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,tpr,gap,0.041808184967679796,0.03822371966641843,0.04489606050365638,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,tpr,amplification,0.6326108294596426,0.5651647770111659,0.6957333831137784,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,fpr,gap,0.04855404978834771,0.04277062846691085,0.05393763573023249,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,fpr,amplification,0.7346843144225607,0.6355135590671452,0.8305924968461403,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,selection_rate,signed_gap,-0.04316942743845875,-0.04572849924283212,-0.04035642252770819,True,State,51,39,100,182377,Black-White,-0.1029455690793667,-0.05977614164090794
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,tpr,signed_gap,-0.041808184967679796,-0.04489606050365638,-0.03822371966641843,True,State,51,39,100,182377,Black-White,-0.08725125351451068,-0.04544306854683089
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a25_mb,fpr,signed_gap,-0.04855404978834771,-0.05393763573023249,-0.042770628466910855,True,State,51,39,100,182377,Black-White,-0.09078818951497997,-0.04223413972663226
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,selection_rate,gap,0.04203907359513981,0.03925656840036334,0.04485229949601482,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,selection_rate,amplification,0.6361044670390591,0.5763651911863548,0.7006811804001939,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,tpr,gap,0.041543029702501344,0.03821279041456943,0.04499573192626466,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,tpr,amplification,0.6285986942193827,0.5648648030875781,0.7008970203447572,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,fpr,gap,0.044469591279335086,0.03880023861114333,0.04996232584440432,True,State,51,39,100,182377,,,
