State,City,mean_Black,mean_White,size_Black,size_White,min_race_n,gap_pp,weight
California,Solano,0.6517857142857143,0.4418604651162791,112.0,129.0,10,20.992524916943523,241.0
California,Stanislaus,0.2777777777777778,0.372972972972973,18.0,185.0,10,-9.51951951951952,203.0
California,Ventura,0.4090909090909091,0.27102803738317754,22.0,321.0,10,13.806287170773157,343.0
Colorado,Arapahoe,0.8085106382978723,0.6274509803921569,47.0,102.0,10,18.105965790571542,149.0
Colorado,Denver,0.49246231155778897,0.45558086560364464,199.0,439.0,10,3.688144595414433,638.0
Colorado,El Paso,0.6785714285714286,0.6129032258064516,28.0,93.0,10,6.5668202764976975,121.0
Connecticut,Fairfield,0.6875,0.6433333333333333,384.0,300.0,10,4.416666666666669,684.0
Connecticut,Hartford,0.5075757575757576,0.5735294117647058,264.0,204.0,10,-6.595365418894827,468.0
Connecticut,New Haven,0.5248868778280543,0.6352201257861635,221.0,159.0,10,-11.033324795810916,380.0
Connecticut,New London,0.75,0.52,12.0,25.0,10,23.0,37.0
Delaware,New Castle,0.875,0.5737704918032787,128.0,61.0,10,30.122950819672134,189.0
District of Columbia,District of Columbia,0.6156100159829515,0.5310344827586206,3754.0,290.0,10,8.457553322433087,4044.0
Florida,Alachua,0.5263157894736842,0.34782608695652173,19.0,23.0,10,17.848970251716246,42.0
Florida,Brevard,0.6153846153846154,0.475,13.0,40.0,10,14.038461538461544,53.0
Florida,Broward,0.6627218934911243,0.6184615384615385,169.0,325.0,10,4.42603550295858,494.0
Florida,Dade,0.45663956639566394,0.5647626709573612,738.0,1243.0,10,-10.812310456169726,1981.0
Florida,Duval,0.41403508771929826,0.41361256544502617,285.0,191.0,10,0.04225222742720858,476.0
Florida,Escambia,0.8888888888888888,0.6551724137931034,18.0,29.0,10,23.37164750957854,47.0
Florida,Hillsborough,0.6538461538461539,0.5808080808080808,78.0,198.0,10,7.303807303807308,276.0
Florida,Lee,0.7619047619047619,0.54,21.0,50.0,10,22.190476190476183,71.0
Florida,Leon,0.5333333333333333,0.6666666666666666,15.0,12.0,10,-13.33333333333333,27.0
Florida,Marion,0.55,0.6938775510204082,20.0,49.0,10,-14.387755102040812,69.0
