attribute,model,group_set,n_groups,groups,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,base_rate_gap,base_rate_gap_lo,base_rate_gap_hi,selection_rate_gap,selection_rate_gap_lo,selection_rate_gap_hi,selection_rate_max_group,selection_rate_min_group,selection_rate_amplification,selection_rate_amplification_lo,selection_rate_amplification_hi,tpr_gap,tpr_gap_lo,tpr_gap_hi,tpr_max_group,tpr_min_group,tpr_amplification,tpr_amplification_lo,tpr_amplification_hi,fpr_gap,fpr_gap_lo,fpr_gap_hi,fpr_max_group,fpr_min_group,fpr_amplification,fpr_amplification_lo,fpr_amplification_hi
Victim Race,graphsage_fairloss_a10_mb,named_n>=5000,2,Black | White,State|City,2814,243,30,143595,0.02722906256474955,0.021920156091504998,0.03259861814874641,0.0002148252564840858,6.216938189822774e-05,0.005616600230798909,Black,White,0.007889557562741666,0.0023051151425871447,0.21121971813445783,0.010302464582999438,0.004285062183156027,0.016477458862628407,Black,White,0.37836280843310766,0.1543971494752773,0.6330677062223875,0.00079244297476605,0.00013201447829526148,0.010854690201706386,Black,White,0.029102837193959737,0.004627232699309904,0.40264636451715746
Victim Race,graphsage_fairloss_a10_mb,named_n>=5000,2,Black | White,State|City,2814,164,50,134799,0.028213794563533456,0.02236715524473659,0.03389489149263984,0.0011989619030574605,9.589945310417847e-05,0.006143991028961525,White,Black,0.04249559201820828,0.0032529087105695902,0.2218493797254239,0.009492262529458784,0.0033305550721684923,0.01567672135173745,Black,White,0.33644047801098,0.11800368148380554,0.5852775527442575,0.0009828036865829337,0.00019168259006364653,0.010506526648258142,White,Black,0.0348341547738217,0.006589137189197285,0.4080079634554027
Victim Race,graphsage_fairloss_a25_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,State|City,2814,3,20,14732,0.11356719848929153,0.031562712443342425,0.2863585335747482,0.09572025824717918,0.028982454045939396,0.17528668606521866,Asian/Pacific Islander,Native American/Alaska Native,0.8428512767813395,0.2054012576073345,2.9764005406975587,0.0928063295217364,0.028835314197180995,0.22959578097414468,Asian/Pacific Islander,Native American/Alaska Native,0.8171930870557425,0.18490486765177006,4.210630059039223,0.07315412592126663,0.040695360402293865,0.19494157305111426,Asian/Pacific Islander,Native American/Alaska Native,0.6441483711352136,0.21806900566230547,3.588096264020505
Victim Race,graphsage_fairloss_a25_mb,named_n>=5000,2,Black | White,State|City,2814,314,20,149428,0.02561874222171079,0.019890897335366326,0.031156008787272534,0.006471982133664622,0.0016534226986335387,0.010988991489582165,Black,White,0.2526268494235402,0.058541848705587575,0.48573631799897743,0.017616362617226544,0.011525976522389828,0.0236771818337696,Black,White,0.6876357342124872,0.42463054271332223,1.025616764607224,0.002917100530532013,0.00014972815498240645,0.012309310505858687,Black,White,0.11386587621229488,0.005522476446064284,0.484742770161808
Victim Race,graphsage_fairloss_a25_mb,named_n>=5000,2,Black | White,State|City,2814,243,30,143595,0.02722906256474955,0.02126092197964485,0.033467404614054015,0.00617480969783557,0.001183023576925979,0.011346253392176424,Black,White,0.22677276102150545,0.04426053379803521,0.4445079356347139,0.0173789122637662,0.01097988010366401,0.02350847452927171,Black,White,0.6382486441624601,0.40227459191009474,0.9344443061930997,0.005312594137555193,0.00027581510269614754,0.014288960984366854,Black,White,0.19510749313980497,0.009654920269335244,0.5461222139568653
Victim Race,graphsage_fairloss_a25_mb,named_n>=5000,2,Black | White,State|City,2814,164,50,134799,0.028213794563533456,0.023005343224099323,0.034066302396372976,0.005430030793166063,0.0006093471119080485,0.010868532151990268,Black,White,0.19246013792786382,0.023643120320082124,0.42098971867070023,0.01726991421210944,0.010646183238808662,0.024452816404836715,Black,White,0.6121088807540597,0.36537481779009634,0.9273231439005072,0.0048920005906062936,0.0002026481233279032,0.01463392322113828,Black,White,0.17339038106307195,0.006565199643801369,0.5320795622435534
Victim Race,graphsage_fairloss_a50_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,State|City,2814,3,20,14732,0.11356719848929153,0.03226495660700059,0.26907078299739995,0.06524321720894416,0.022315748431919302,0.1633523903509673,Asian/Pacific Islander,Native American/Alaska Native,0.5744899766555047,0.14314685937841312,3.1709745764158677,0.10674081322549828,0.03498725904443265,0.24447944544808328,Asian/Pacific Islander,Native American/Alaska Native,0.9398912242742615,0.21397811052573043,4.471548363923379,0.009993792658342965,0.017398034266642586,0.18349797629720396,Native American/Alaska Native,Black,0.08799893623584717,0.10743509232010125,2.7194514578644613
Victim Race,graphsage_fairloss_a50_mb,named_n>=5000,2,Black | White,State|City,2814,314,20,149428,0.02561874222171079,0.020469491940764778,0.031368413141434084,0.0012813062882055526,6.781894009164625e-05,0.0062725917470767886,Black,White,0.050014410431113994,0.0026430540524959305,0.26654182504912194,0.014199809426512333,0.008137896200463545,0.020511478306319025,Black,White,0.5542742615396083,0.3175578077894716,0.8420899649698094,0.005870853336685133,0.00036689356704713296,0.01630261191916073,White,Black,0.22916243451287927,0.013733280895305221,0.630361282226517
Victim Race,graphsage_fairloss_a50_mb,named_n>=5000,2,Black | White,State|City,2814,243,30,143595,0.02722906256474955,0.021788016280892653,0.03260909429716359,0.0008589238996141724,8.366853207821546e-05,0.0059715580079867684,Black,White,0.03154438011120243,0.0030990636864590805,0.22661938055784236,0.013754833582380832,0.0073955547795218875,0.019548086473889278,Black,White,0.5051526672896808,0.27175945204520924,0.7617830544727207,0.0029630879737831406,0.00018434550815734504,0.01253165728663688,White,Black,0.1088207853919702,0.0061594493479055195,0.457713112945088
Victim Race,graphsage_fairloss_a50_mb,named_n>=5000,2,Black | White,State|City,2814,164,50,134799,0.028213794563533456,0.022453554210198116,0.03390303438490639,0.00024388529097529865,8.404860960258832e-05,0.00588738483193823,White,Black,0.00864418610641343,0.0030287894566957923,0.21791637763333738,0.013556282687653187,0.007710909929771403,0.019886789890082246,Black,White,0.4804842063029262,0.265606119136552,0.7656099226502884,0.004739515174880471,0.0003159867092817653,0.014713081653556092,White,Black,0.16798574059961188,0.011675874599079998,0.552952129946529
