block_key,min_n,State,City,n,n_unsolved,expected_unsolved,smr,z,p_value,n_priority,white_share,black_share,q_value,flag
county,20,Michigan,Kent,223,58,53.04941782596218,1.093320197976141,0.8037967946283404,0.4677532246775322,23,0.4125560538116592,0.5336322869955157,0.790349536474924,
county,20,Texas,Cooke,21,5,3.7014734147624706,1.350813430148831,0.7867843497219397,0.6055394460553944,1,0.9523809523809523,0.047619047619047616,0.8766014487660144,
county,20,Texas,Rusk,48,9,7.340671943744242,1.2260457992091371,0.6778592383464672,0.6121387861213878,7,0.6458333333333334,0.3541666666666667,0.8766014487660144,
county,20,Texas,Galveston,228,54,50.02984455309075,1.0793557422049593,0.6543688501073204,0.5713428657134286,18,0.5877192982456141,0.3991228070175439,0.851062810385628,
county,20,Texas,McLennan,192,44,40.79052458894344,1.0786818861340781,0.5841861177049104,0.6343365663433657,18,0.6197916666666666,0.3697916666666667,0.8774372562743724,
county,20,Texas,Atascosa,34,8,6.777880296460631,1.180310015828629,0.5556454925625383,0.7205279472052795,4,1.0,0.0,0.9282477157689637,
county,20,Michigan,Berrien,88,23,20.97902827783613,1.096332951907929,0.5326260156554198,0.6645335466453355,6,0.2727272727272727,0.6818181818181818,0.8964809941024247,
county,20,Texas,Waller,27,7,5.948214871994209,1.1768236606511775,0.5275528799918807,0.7581241875812419,4,0.4444444444444444,0.5185185185185185,0.950980340562435,
county,20,California,Merced,164,54,51.137736817863455,1.0559716436480369,0.49784491382572277,0.6787321267873213,6,0.823170731707317,0.07926829268292683,0.8964809941024247,
county,20,Michigan,Van Buren,36,9,7.830436658650086,1.1493611904845595,0.4960313132574765,0.7571242875712428,1,0.75,0.25,0.950980340562435,
county,20,Texas,Hill,24,5,4.25129194671973,1.1761130646080347,0.4314950501805037,0.8371162883711629,2,0.75,0.25,0.9999545499995455,
county,20,California,San Diego,1630,587,579.0156210911716,1.0137895742670666,0.42742501756376095,0.6723327667233276,15,0.7141104294478527,0.20368098159509201,0.8964809941024247,
county,20,Texas,Val Verde,20,5,4.2789718348262005,1.1685050037734324,0.4096717239730429,0.8573142685731426,1,1.0,0.0,1.0,
county,20,Texas,Liberty,57,10,8.98190491048428,1.1133495733546823,0.38239905753708037,0.8029197080291971,7,0.7719298245614035,0.19298245614035087,0.9898061917946137,
county,20,Michigan,Jackson,91,20,18.85020428501802,1.0609964591150787,0.30580608354515426,0.8447155284471553,12,0.5824175824175825,0.3956043956043956,0.9999545499995455,
county,20,Texas,Cameron,174,40,38.45764354966089,1.0401053290836046,0.29496200874361667,0.8433156684331566,11,0.9655172413793104,0.0,0.9999545499995455,
county,20,Texas,Anderson,47,8,7.311315188283061,1.0941943814459825,0.288108597855861,0.8989101089891011,4,0.723404255319149,0.2765957446808511,1.0,
county,20,California,Marin,41,13,12.224959173108534,1.063398234375812,0.2711791468862207,0.9235076492350764,2,0.7804878048780488,0.14634146341463414,1.0,
county,20,Texas,Cass,21,3,2.610718413263325,1.1491089903679361,0.26066555833145566,0.9991000899910009,2,0.7142857142857143,0.2857142857142857,1.0,
county,20,Texas,Wharton,34,5,4.6167173426791965,1.0830206029244092,0.1950775070737912,0.9967003299670033,4,0.5882352941176471,0.4117647058823529,1.0,
county,20,Texas,Gregg,126,26,25.26701139357477,1.0290097073614184,0.16814669700770565,0.9485051494850515,17,0.46825396825396826,0.5238095238095238,1.0,
county,20,Texas,Matagorda,42,7,6.719769062701715,1.0417024654691953,0.12167712058895003,1.0,3,0.8571428571428571,0.09523809523809523,1.0,
county,20,Texas,Fort Bend,141,33,32.48002542978382,1.0160090567459767,0.1101070118286513,0.9981001899810019,9,0.723404255319149,0.24113475177304963,1.0,
county,20,Texas,Gonzales,25,5,5.093053061043534,0.9817294145715285,-0.047586211468847006,1.0,3,0.8,0.2,1.0,
county,20,California,Riverside,1158,373,374.6095916581662,0.9957032823130835,-0.10425385094997627,0.9707029297070293,15,0.7970639032815199,0.15630397236614854,1.0,
county,20,Michigan,Washtenaw,110,22,22.522267282913745,0.976811069846864,-0.12715743393104134,1.0,11,0.509090909090909,0.4818181818181818,1.0,
county,20,Texas,Hays,41,7,7.377621093768785,0.9488153309895885,-0.16152321171758147,1.0,2,0.975609756097561,0.024390243902439025,1.0,
county,20,Texas,Guadalupe,39,6,6.370898089672108,0.9417824481805206,-0.16406448371518154,1.0,6,0.8974358974358975,0.07692307692307693,1.0,
county,20,Texas,Polk,25,3,3.3082546561804915,0.9068225731641881,-0.18769740132585389,1.0,2,0.64,0.32,1.0,
county,20,Texas,Comal,28,4,4.3633997361682155,0.91671637756312,-0.1944704044408461,1.0,4,0.9642857142857143,0.0,1.0,
county,20,Texas,Brazoria,107,17,17.771321265120644,0.9565974159369626,-0.20624767483488465,0.9783021697830216,9,0.7383177570093458,0.2336448598130841,1.0,
