attribute,model,group_set,n_groups,groups,base_rate_gap,base_rate_gap_lo,base_rate_gap_hi,selection_rate_gap,selection_rate_gap_lo,selection_rate_gap_hi,selection_rate_max_group,selection_rate_min_group,selection_rate_amplification,selection_rate_amplification_lo,selection_rate_amplification_hi,tpr_gap,tpr_gap_lo,tpr_gap_hi,tpr_max_group,tpr_min_group,tpr_amplification,tpr_amplification_lo,tpr_amplification_hi,fpr_gap,fpr_gap_lo,fpr_gap_hi,fpr_max_group,fpr_min_group,fpr_amplification,fpr_amplification_lo,fpr_amplification_hi
Victim Race,logreg,named_n>=1000,3,Black | White | Asian/Pacific Islander,0.047561308055325324,0.04004558108382616,0.059728566779654345,0.17822868050990387,0.15063375490994482,0.204832623074315,White,Asian/Pacific Islander,3.747346063371107,2.72701500722488,4.739303355879418,0.1879131948511033,0.15397727665802807,0.21907782241300564,White,Asian/Pacific Islander,3.9509677621253547,2.897727432209194,4.98270172256747,0.1467255423152048,0.12432702798160562,0.1870189347791553,White,Asian/Pacific Islander,3.0849770183891376,2.3611574292255866,4.144989211205004
Victim Race,logreg,named_n>=5000,2,Black | White,0.047561308055325324,0.03934676482568266,0.05538447442634638,0.12711431515689453,0.11891556536152889,0.13539527985613195,White,Black,2.6726412782640416,2.2952910617600835,3.217178761582959,0.10649035072050317,0.09703036495739638,0.11717924178335111,White,Black,2.2390122365143763,1.8510474251145428,2.782610040188417,0.13429668057450406,0.11907425600143436,0.14835688484039355,White,Black,2.823654059688276,2.330134938821669,3.461335311910405
Victim Race,logreg_blind,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.06978136582096006,0.04323779935553374,0.13595863554570684,0.14358097749898152,0.11851267484719934,0.20550216317653242,Black,Asian/Pacific Islander,2.057583364982725,1.0633496872280415,3.69195755921126,0.1855248293710891,0.1538872720436371,0.22754442246234127,Black,Asian/Pacific Islander,2.6586586144945223,1.3199724072856593,4.6229732776816395,0.11101995168550438,0.07619482007981994,0.22326984574868314,White,Asian/Pacific Islander,1.5909684538183342,0.8006110981722468,3.74973866883648
Victim Race,logreg_blind,named_n>=1000,3,Black | White | Asian/Pacific Islander,0.047561308055325324,0.03991715000578232,0.05977924734727682,0.14358097749898152,0.11758191461136397,0.16980268426385822,Black,Asian/Pacific Islander,3.0188609895245535,2.191847757071822,3.8291935764002387,0.1855248293710891,0.15320071550686656,0.21486916664179717,Black,Asian/Pacific Islander,3.9007511979123617,2.8761963864359696,4.938576513185013,0.11101995168550438,0.07017542126261195,0.1506637389013086,White,Asian/Pacific Islander,2.334249334697887,1.4084994494705283,3.244663570414841
Victim Race,logreg_blind,named_n>=5000,2,Black | White,0.047561308055325324,0.039123130613250796,0.05653733879576101,0.0021767469062777822,0.00017677962335448105,0.010895784142104459,Black,White,0.04576717914792625,0.0038170000617112386,0.24615807012865662,0.034407340905656114,0.024274551681687847,0.04403290546290717,Black,White,0.7234313418300448,0.49481782336211455,1.0050397808550293,0.030798155913014824,0.016311629079066574,0.044771310486463656,White,Black,0.6475464442060573,0.3273052912722803,0.9734696691182375
Victim Race,xgboost,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.06978136582096006,0.043334426083412966,0.1339519264038979,0.31070831272230465,0.24761942618896185,0.3738053455193586,Native American/Alaska Native,Asian/Pacific Islander,4.452597180735863,2.3649504089194124,7.45843950895299,0.30127993458810953,0.23398493034848086,0.3677350363124869,Native American/Alaska Native,Asian/Pacific Islander,4.317484059585643,2.152616113708256,7.489679802201112,0.31554577349193985,0.18574378991946253,0.45277166557145515,Native American/Alaska Native,Black,4.521920283153301,1.8464694882284909,8.451536341888952
Victim Race,xgboost,named_n>=1000,3,Black | White | Asian/Pacific Islander,0.047561308055325324,0.040390903307776824,0.06112487789003699,0.13118587636587226,0.1069641632625473,0.16068569157860654,White,Asian/Pacific Islander,2.758247864278066,1.9451791524062862,3.602520050161312,0.13716076015358913,0.10340128788394942,0.16956665398341547,White,Asian/Pacific Islander,2.8838727478655115,1.968746013878906,3.808718284605329,0.11724514127704733,0.10446582521738375,0.1509808292107081,White,Black,2.4651370214768447,1.9270737125027544,3.3383139597699856
Victim Race,xgboost,named_n>=5000,2,Black | White,0.047561308055325324,0.03983869572586403,0.05574634944099248,0.10589294905992919,0.09748470071747155,0.11429944827909677,White,Black,2.226451571448582,1.889080698201949,2.6387389341470002,0.08032309907880597,0.07008732310132561,0.08989200815540033,White,Black,1.6888328425570371,1.3752511772456795,2.092027103555007,0.11724514127704733,0.10208641881675018,0.13180258761850308,White,Black,2.4651370214768447,1.9723349707645206,3.049500629472012
Victim Race,xgboost_blind,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.06978136582096006,0.04310397489222855,0.14247840991549435,0.10215955808043642,0.07774485402896192,0.1764382572099341,White,Asian/Pacific Islander,1.4639948197997437,0.7364880549235828,3.086876037649376,0.11743755191892025,0.08872317284955793,0.18779294176090122,Black,Asian/Pacific Islander,1.6829357026377636,0.81830262959857,3.543312624064065,0.059532411505742955,0.052272549954415805,0.2174186756485691,White,Black,0.853127633793911,0.5154735471066054,3.609991791884362
Victim Race,xgboost_blind,named_n>=1000,3,Black | White | Asian/Pacific Islander,0.047561308055325324,0.040201177579202683,0.06081868469128105,0.10215955808043642,0.0738828546852565,0.12942377443525419,White,Asian/Pacific Islander,2.1479551815858406,1.3984217733516533,2.8760650306801145,0.11743755191892025,0.08670183738965279,0.15063356102931116,Black,Asian/Pacific Islander,2.469182550284612,1.6366059699550812,3.310557471667963,0.059532411505742955,0.048827570594145706,0.1056395129486074,White,Black,1.251698364487628,0.9518231166680381,2.3132285635910903
