family,timestamp,model,tag,seed,attribute,blind,group_set,params,notes,metric,value,lo,hi,std
ablation,2026-07-23T15:32:04,graphsage,default,42.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},specificity,0.6155414714797465,,,
ablation,2026-07-23T15:32:17,graphsage,default,43.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},specificity,0.612510333425186,,,
ablation,2026-07-23T15:32:32,graphsage,default,44.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},specificity,0.5982364287682557,,,
ablation,2026-07-23T15:32:04,graphsage,default,42.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},train_seconds,14.6,,,
ablation,2026-07-23T15:32:17,graphsage,default,43.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},train_seconds,12.9,,,
ablation,2026-07-23T15:32:32,graphsage,default,44.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},train_seconds,15.1,,,
ablation,2026-07-23T15:46:15,graphsage,sweep_aggr,42.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},auc,0.701148891468127,,,
ablation,2026-07-23T15:46:56,graphsage,sweep_aggr,43.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},auc,0.7010945099158119,,,
ablation,2026-07-23T15:47:03,graphsage,sweep_aggr,44.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},auc,0.5911095697871959,,,
ablation,2026-07-23T15:46:15,graphsage,sweep_aggr,42.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},balanced_accuracy,0.6420743747417815,,,
ablation,2026-07-23T15:46:56,graphsage,sweep_aggr,43.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},balanced_accuracy,0.6418610003306654,,,
ablation,2026-07-23T15:47:03,graphsage,sweep_aggr,44.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},balanced_accuracy,0.5589443416901717,,,
ablation,2026-07-23T15:46:15,graphsage,sweep_aggr,42.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},best_epoch,170.0,,,
ablation,2026-07-23T15:46:56,graphsage,sweep_aggr,43.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},best_epoch,130.0,,,
ablation,2026-07-23T15:47:03,graphsage,sweep_aggr,44.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},best_epoch,8.0,,,
ablation,2026-07-23T15:46:15,graphsage,sweep_aggr,42.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},f1,0.7447185937751976,,,
ablation,2026-07-23T15:46:56,graphsage,sweep_aggr,43.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},f1,0.7360390185419817,,,
ablation,2026-07-23T15:47:03,graphsage,sweep_aggr,44.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},f1,0.4369229632912327,,,
ablation,2026-07-23T15:46:15,graphsage,sweep_aggr,42.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},mcc,0.2727174048351226,,,
ablation,2026-07-23T15:46:56,graphsage,sweep_aggr,43.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},mcc,0.2700385988507334,,,
ablation,2026-07-23T15:47:03,graphsage,sweep_aggr,44.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},mcc,0.1241867649627191,,,
ablation,2026-07-23T15:46:15,graphsage,sweep_aggr,42.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},n_params,17729.0,,,
