tag,alpha,beta,blind,attribute,acc_auc,acc_mcc,acc_f1,acc_sensitivity,acc_specificity,acc_balanced_accuracy,acc_precision,acc_mcc_std,dp_gap,dp_amplification,dp_amplification_lo,dp_amplification_hi,tpr_gap,base_rate_gap,best_val_gap,grad_clip
fairloss_a1000_b1_gc0.1,1000.0,1.0,True,Victim Race,0.6806550220742927,0.2438999971843986,0.6984309349030777,0.6293225168793161,0.631082942959493,0.6302027299194046,0.7854509360646849,0.018349820069222846,0.02019300307663563,0.42456786624005954,0.2233379027695824,0.6653669580369034,0.046795544413268164,0.047561308055325324,0.007186124317867175,0.1
fairloss_a50_gc1,50.0,0.0,True,Victim Race,0.6930070629780714,0.2620809883129493,0.7230699377519092,0.6700810378319172,0.6072931018646092,0.6386870698482632,0.7857139240743445,0.0022868620174466,0.0037300152727712,0.0784254139611208,0.0026365811510673,0.2685324533326302,0.0307757939798457,0.0475613080553253,,1.0
fairloss_a200_gc1,200.0,0.0,True,Victim Race,0.6928516309930006,0.2624626373397965,0.7140898771248981,0.651682797217159,0.6278313585009645,0.6397570778590618,0.7899315566124755,0.0007704224929698,0.0083641829026439,0.1758610779357537,0.022183257688883,0.3730608179119927,0.0351456705075838,0.0475613080553253,,1.0
fairloss_a1000_gc1,1000.0,0.0,True,Victim Race,0.6890211462301389,0.2540831041623484,0.7081686779605966,0.6432281638555867,0.6278313585009644,0.6355297611782755,0.7876987915693568,0.002799767865885,0.0255781887314265,0.5377940552365161,0.3445892737537808,0.7796909249303372,0.0516794684785271,0.0475613080553253,,1.0
fairloss_a200_b1_gc1,200.0,1.0,True,Victim Race,0.6930354332450176,0.2635377817723129,0.7144136225790149,0.6518025997141854,0.6289335905208047,0.640368095117495,0.7904112403452297,0.0020315765006999,0.0089952979843589,0.1891305843374877,0.0291697236275144,0.3867516198658998,0.0354157965164246,0.0475613080553253,0.0025405975168872,1.0
fairloss_a1000_b1_gc1,1000.0,1.0,True,Victim Race,0.6731304431380614,0.2328001904007986,0.6839113652918041,0.6069536792202569,0.6421787452925508,0.6245662122564039,0.7845414715707443,0.017712897478549,0.0148521562498593,0.3122739230086503,0.1257323820879675,0.535631324952756,0.0423559138197333,0.0475613080553253,0.0045423625002418,1.0
fairloss_a0_sex_sighted,0.0,0.0,False,Victim Sex,0.7122637094941447,0.2852001266015349,0.7209545638788262,0.6572707279713158,0.6459814457609993,0.6516260868661575,0.7998841647444505,0.0013550697941725,0.2111585311577701,2.62944437551366,2.3778522143258383,2.956670216328112,0.1900858040577302,0.0803053805298773,,0.0
fairloss_a10_sex_sighted,10.0,0.0,False,Victim Sex,0.7084047136894464,0.2816936941443514,0.740311157654117,0.6978581024995935,0.5979241296959676,0.6478911160977806,0.7884615427624434,0.0011163661621534,0.0199795168251467,0.2487942488201453,0.1209070604356852,0.3599619633826417,0.0064727516330523,0.0803053805298773,,0.0
fairloss_a50_sex_sighted,50.0,0.0,False,Victim Sex,0.7072348712862757,0.2800209697636541,0.7252650396892885,0.6680529527036856,0.6285845503811885,0.648318751542437,0.7947246948342211,0.0026819147922473,0.0316416145988841,0.3940161218352236,0.2783278374128704,0.5129369916315846,0.0167789799898242,0.0803053805298773,,0.0
fairloss_a200_sex_sighted,200.0,0.0,False,Victim Sex,0.7033842941501375,0.2740377400929099,0.7120108377738322,0.6431939345707219,0.64947184715716,0.646332890863941,0.7975984151206891,0.0036227353474933,0.0157057594103369,0.1955754310197638,0.0697220600111802,0.3137668571185361,0.0024041161052776,0.0803053805298773,,0.0
fairloss_a1000_sex_sighted,1000.0,0.0,False,Victim Sex,0.668716333033596,0.2281758889563651,0.6960834308162837,0.6297931695462052,0.6138881234499862,0.6218406464980958,0.7782196306747853,0.0588996492903738,0.0027467062206988,0.0342032651184179,0.0034659060958628,0.153119220376446,0.0217608304714599,0.0803053805298773,,0.0
fairloss_a0_sex,0.0,0.0,True,Victim Sex,0.6969576181111173,0.2650141370972403,0.7057099169463655,0.63558647600955,0.6470836777808395,0.6413350768951948,0.7950406634427498,0.0011879369950908,0.0758039269054832,0.9439458029500354,0.812840936424297,1.097404441843551,0.0535759230463545,0.0803053805298773,,0.0
fairloss_a10_sex,10.0,0.0,True,Victim Sex,0.6948282500475481,0.2629829497534439,0.7064523773123573,0.6367845009798133,0.6441995039955911,0.6404920024877022,0.7936279571639749,0.0041001281176836,0.0532964188266498,0.6636718296455997,0.5390333438408267,0.7879958223424172,0.0318500627894144,0.0803053805298773,,0.0
fairloss_a50_sex,50.0,0.0,True,Victim Sex,0.6944057923835271,0.2613181354261378,0.7020415647915675,0.6292283863459383,0.650261780104712,0.6397450832253252,0.7944612754141666,0.0021524976574089,0.0288298686419001,0.3590029516288031,0.2343601572416469,0.4770546411453381,0.0091583216851456,0.0803053805298773,,0.0
fairloss_a200_sex,200.0,0.0,True,Victim Sex,0.6931786986953546,0.2616439808686455,0.7026282223147211,0.6299728732917448,0.649967851566088,0.6399703624289165,0.7944243293819376,0.0030970751357996,0.0296867888778393,0.3696737215110325,0.2459506655777615,0.4897500225073108,0.0091965997894559,0.0803053805298773,,0.0
fairloss_a1000_sex,1000.0,0.0,True,Victim Sex,0.6919067249346434,0.2606613284832634,0.7078413748614402,0.640113298932902,0.6382841921557821,0.6391987455443421,0.7916384825050643,0.0011020783460084,0.0228822978451987,0.2849410300308024,0.1599787572810065,0.4049427595715815,0.0023976917545043,0.0803053805298773,,0.0
