model,attribute,criterion,lambda,n_eval,acc_auc,acc_mcc,acc_f1,acc_sensitivity,acc_specificity,acc_balanced_accuracy,acc_precision,dp_gap,dp_amplification,dp_amplification_lo,dp_amplification_hi,tpr_gap,tpr_amplification,base_rate_gap,groups,thresholds
graphsage_geo,Victim Race,dp,0.0,28549,0.7102985410525524,0.28115133925040076,0.7218881708345041,0.6595810227972889,0.6398104265402843,0.6496957246687867,0.7971949857266973,0.10817650561209236,2.2826852370653183,1.826856809029975,3.000284172528169,0.08538053341584617,1.801656302894368,0.047390022879881144,Black | White,Black=0.500; White=0.500
graphsage_geo_blind,Victim Race,dp,0.5,28549,0.6968285095060971,0.2655069125434883,0.6979877414132069,0.6197884575888273,0.6648297145376392,0.6423090860632332,0.7987691900476442,0.03111965944554418,0.6566711209324115,0.421506519999986,0.9775966681038922,0.0046922992752381765,0.09901449693602564,0.047390022879881144,Black | White,Black=0.491; White=0.506
graphsage_geo_blind,Victim Race,dp,0.6,28549,0.6968285095060971,0.2654164444092369,0.6978021978021978,0.6194803861162457,0.6650501487931224,0.642265267454684,0.7987950211864406,0.024884958029202986,0.5251096436960698,0.2889221308303878,0.7926469268654673,0.0011392298941778067,0.024039445962400093,0.047390022879881144,Black | White,Black=0.489; White=0.507
graphsage_geo_blind,Victim Race,dp,0.7,28549,0.6968285095060971,0.2661135028037155,0.6981639439063178,0.6198911480796878,0.6653808001763474,0.6426359741280177,0.7990601628168641,0.019104925600097467,0.40314235864630127,0.1739948355945858,0.6719585836488584,0.007417991804501534,0.15653066518460684,0.047390022879881144,Black | White,Black=0.488; White=0.508
graphsage_geo_blind,Victim Race,dp,0.8,28549,0.6968285095060971,0.26567644407469265,0.6977699360772858,0.6193263503799549,0.6654910173040891,0.642408683842022,0.798966682122276,0.013257520853005023,0.27975341743574766,0.04148363544259197,0.5560521467925172,0.013437287322565772,0.28354675743932606,0.047390022879881144,Black | White,Black=0.486; White=0.509
graphsage_geo_blind,Victim Race,dp,0.9,28549,0.6968285095060971,0.2647156564787005,0.6974955173809937,0.619172314643664,0.6646092802821558,0.6418907974629099,0.7985035094689446,0.006231391578594869,0.13149163473479417,0.008415377468323007,0.3775390705476735,0.020870452165342,0.44039759630929187,0.047390022879881144,Black | White,Black=0.484; White=0.510
graphsage_geo_blind,Victim Race,dp,1.0,28549,0.6968285095060971,0.2634006853410797,0.6971230302154113,0.6189669336619429,0.6633968918769977,0.6411819127694702,0.7978688199086638,0.0008326239247764544,0.017569603772652636,0.00395378780149864,0.3092394989431516,0.02792417948479531,0.5892417388270597,0.047390022879881144,Black | White,Black=0.482; White=0.511
graphsage_geo_blind,Victim Race,tpr,0.0,28549,0.6968285095060971,0.26594422633395465,0.6983815028901734,0.6203532552885603,0.6647194974098976,0.6425363763492289,0.7988627347262629,0.06843100953657844,1.44399612783538,1.132457544006037,1.9247692225808397,0.041985904272235475,0.8859650559497847,0.047390022879881144,Black | White,Black=0.500; White=0.500
graphsage_geo_blind,Victim Race,tpr,0.1,28549,0.6968285095060971,0.26563543223394576,0.6983760041611281,0.6204559457794209,0.6642786288989309,0.6423672873391759,0.7986781229345671,0.06426753610245467,1.356140643049545,1.0630278223600305,1.789048247571625,0.03752044439845703,0.7917372079258033,0.047390022879881144,Black | White,Black=0.499; White=0.501
graphsage_geo_blind,Victim Race,tpr,0.2,28549,0.6968285095060971,0.26592958610050266,0.6986016410493471,0.6207640172520025,0.6642786288989309,0.6425213230754667,0.7987579281183932,0.05994830056266787,1.2649983460573129,0.965174387691742,1.6902794401661778,0.033158865293257955,0.6997013986953602,0.047390022879881144,Black | White,Black=0.498; White=0.501
graphsage_geo_blind,Victim Race,tpr,0.3,28549,0.6968285095060971,0.26724438343752,0.69897413668545,0.6209693982337235,0.6654910173040891,0.6432302077689063,0.799391896357988,0.053461012873351366,1.1281069226081253,0.8464713527925288,1.5090074383073495,0.0274712072694423,0.5796833510520389,0.047390022879881144,Black | White,Black=0.497; White=0.502
graphsage_geo_blind,Victim Race,tpr,0.4,28549,0.6968285095060971,0.2665815366670803,0.6988703666252564,0.6210207434791538,0.6647194974098976,0.6428701204445257,0.7990354759859946,0.04801355636496185,1.0131574843646134,0.7436957852513094,1.3414283823901914,0.021531892505420314,0.45435497172045924,0.047390022879881144,Black | White,Black=0.496; White=0.503
graphsage_geo_blind,Victim Race,tpr,0.5,28549,0.6968285095060971,0.26633638270907867,0.6986823855755895,0.6207640172520025,0.6647194974098976,0.64274175733095,0.7989690721649485,0.044136338242956485,0.9313424126176996,0.6743786342398284,1.2672805612166325,0.01717421822624776,0.36240156012962943,0.047390022879881144,Black | White,Black=0.495; White=0.504
graphsage_geo_blind,Victim Race,tpr,0.6,28549,0.6968285095060971,0.26595161687881824,0.6982713765392843,0.6201478743068392,0.6649399316653808,0.64254390298611,0.7989152004233364,0.04004020288711896,0.8449078614840159,0.602403829322925,1.1860691673744064,0.01338765264507269,0.28249939188689976,0.047390022879881144,Black | White,Black=0.494; White=0.504
graphsage_geo_blind,Victim Race,tpr,0.7,28549,0.6968285095060971,0.26534134051016167,0.698150289017341,0.6201478743068392,0.6642786288989309,0.642213251602885,0.798598254430045,0.03649977787564751,0.7701996255237734,0.516934346656822,1.0694543028654493,0.009681067817939981,0.20428493656731195,0.047390022879881144,Black | White,Black=0.493; White=0.505
graphsage_geo_blind,Victim Race,tpr,0.8,28549,0.6968285095060971,0.2655974706217096,0.698173199213782,0.6200965290614089,0.6646092802821558,0.6423529046717824,0.7987433862433863,0.033304546114645395,0.7027754808024039,0.46793963574162867,1.0194863361705941,0.006353920514129974,0.1340771775999174,0.047390022879881144,Black | White,Black=0.492; White=0.505
graphsage_geo_blind,Victim Race,tpr,0.9,28549,0.6968285095060971,0.2656688818741044,0.6978802163162613,0.6195317313616759,0.6652705830486058,0.6424011572051409,0.7989141230219162,0.03012193168339672,0.6356175805136531,0.39938717590297546,0.9529145147231796,0.0035778867198069664,0.07549873374983987,0.047390022879881144,Black | White,Black=0.491; White=0.506
graphsage_geo_blind,Victim Race,tpr,1.0,28549,0.6968285095060971,0.26568024275650226,0.6977147816025455,0.6192236598890942,0.6656012344318307,0.6424124471604624,0.7989929773419902,0.026320486019313805,0.5554014203797282,0.33469285272439653,0.8287832081260829,6.297306734881492e-05,0.0013288254261541908,0.047390022879881144,Black | White,Black=0.490; White=0.507
graphsage_geo_blind,Victim Sex,dp,0.0,28549,0.6968285095060971,0.26594422633395465,0.6983815028901734,0.6203532552885603,0.6647194974098976,0.6425363763492289,0.7988627347262629,0.07350496400576034,0.8562195061676084,0.6848052840252689,1.068447782361864,0.05138076989140161,0.5985067541762187,0.08584827077201795,Male | Female,Female=0.500; Male=0.500
graphsage_geo_blind,Victim Sex,dp,0.1,28549,0.6968285095060971,0.26594422633395465,0.6983815028901734,0.6203532552885603,0.6647194974098976,0.6425363763492289,0.7988627347262629,0.06529334811226184,0.7605668410684406,0.5867116621413212,0.9540720146364499,0.04340771529420062,0.5056329603828115,0.08584827077201795,Male | Female,Female=0.503; Male=0.499
graphsage_geo_blind,Victim Sex,dp,0.2,28549,0.6968285095060971,0.26517594071432643,0.6983127239107824,0.6205072910248511,0.6637275432602227,0.6421174171425369,0.7984275898520085,0.05828204533549064,0.6788959732254448,0.5172093765670713,0.8613982602192989,0.03612194592036733,0.42076497983627636,0.08584827077201795,Male | Female,Female=0.505; Male=0.499
graphsage_geo_blind,Victim Sex,dp,0.3,28549,0.6968285095060971,0.2648744825598559,0.6981971570553566,0.6204046005339906,0.6635071090047393,0.6419558547693649,0.7982954545454546,0.04963823913180787,0.5782089573315825,0.4139086726863014,0.7563433146628386,0.02769070117425454,0.3225539772116209,0.08584827077201795,Male | Female,Female=0.508; Male=0.498
graphsage_geo_blind,Victim Sex,dp,0.4,28549,0.6968285095060971,0.2633856830900562,0.697343700320837,0.6193776956253851,0.6629560233660311,0.6411668594957081,0.7977646981019774,0.04057451730767625,0.4726305718542373,0.316648466698781,0.6645770924948472,0.01779342995366906,0.20726602637019903,0.08584827077201795,Male | Female,Female=0.510; Male=0.497
graphsage_geo_blind,Victim Sex,dp,0.5,28549,0.6968285095060971,0.2616074559988006,0.6969635686013925,0.6193263503799549,0.661082332194423,0.640204341287189,0.7968553874611878,0.03165830391549873,0.36877043219160194,0.20289769416710135,0.5443633576020447,0.008114788689937869,0.09452477745868429,0.08584827077201795,Male | Female,Female=0.513; Male=0.496
graphsage_geo_blind,Victim Sex,dp,0.6,28549,0.6968285095060971,0.2617471802521005,0.6971867598636705,0.6196857670979667,0.6608618979389397,0.6402738325184532,0.7968440512346494,0.02607568410028216,0.30374151821333445,0.13982295797920632,0.47425095199954903,0.0029265928875875646,0.0340902951366317,0.08584827077201795,Male | Female,Female=0.515; Male=0.496
graphsage_geo_blind,Victim Sex,dp,0.7,28549,0.6968285095060971,0.26173990104457884,0.697296985098764,0.6198911480796878,0.6606414636834564,0.6402663058815721,0.7967925026399155,0.018464224765147308,0.21507975174225266,0.05099700352261431,0.38967967854086416,0.004425379730204737,0.05154885113477649,0.08584827077201795,Male | Female,Female=0.517; Male=0.495
