attribute,model,group,n,base_rate,selection_rate,tpr,fpr,tnr,accuracy,selection_rate_lo,selection_rate_hi,tpr_lo,tpr_hi,fpr_lo,fpr_hi
Victim Race,xgboost,Unknown,798,0.5050125313283208,0.2606516290726817,0.4094292803970223,0.10886075949367088,0.8911392405063291,0.6478696741854637,0.23057644110275688,0.2932330827067669,0.36153614457831323,0.4570725108225108,0.07808564231738035,0.1401117908382492
Victim Race,xgboost,Native American/Alaska Native,178,0.7247191011235955,0.8033707865168539,0.8682170542635659,0.6326530612244898,0.3673469387755102,0.7303370786516854,0.7415730337078652,0.8595505617977528,0.8066718093487395,0.9253793018379178,0.49055678875323716,0.7727272727272727
Victim Sex,graphsage_geo,Male,45510,0.6662711491979785,0.5199736321687541,0.6169447925598576,0.32637608638398735,0.6736239136160126,0.6358602504943969,0.5152027027027027,0.5243468468468468,0.611571909894427,0.6223329322398756,0.3188198420200605,0.33375228396813605
Victim Sex,graphsage_geo,Female,11538,0.7465765297278558,0.734096030507887,0.8104248897144184,0.509233926128591,0.490766073871409,0.7294158433003987,0.7259490379615184,0.7421585196741203,0.8028409355581021,0.8189014624563163,0.48962770055765636,0.5267872528248587
Victim Sex,graphsage_geo,Unknown,50,0.34,0.1,0.29411764705882354,0.0,1.0,0.76,0.02,0.18,0.09090909090909091,0.526393188854489,0.0,0.0
Victim Sex,logreg,Male,45510,0.6662711491979785,0.48163041089870356,0.5608798891893675,0.3234132209639189,0.6765867790360811,0.5994946165677874,0.47686167875192265,0.486069545154911,0.5553147136158278,0.566397853259324,0.3163411744657695,0.3307583184413302
Victim Sex,logreg,Female,11538,0.7465765297278558,0.7461431790604958,0.8020664035291386,0.5813953488372093,0.4186046511627907,0.7048881955278211,0.7387762177153753,0.754118998093257,0.7941511781384508,0.810357583960364,0.5643930845567005,0.599658413308951
Victim Sex,logreg,Unknown,50,0.34,0.04,0.11764705882352941,0.0,1.0,0.7,0.0,0.1,0.0,0.2857142857142857,0.0,0.0
Victim Sex,xgboost,Male,45510,0.6662711491979785,0.5366293122390683,0.6293780093661367,0.35146168027390046,0.6485383197260995,0.6357723577235772,0.5319924192485168,0.5410025269171611,0.6239160102615542,0.6347238222131998,0.34403375999296926,0.3590676182900838
Victim Sex,xgboost,Female,11538,0.7465765297278558,0.7415496619864794,0.8146041328070582,0.5263337893296853,0.4736662106703146,0.7282024614317906,0.733489339573583,0.7490032934650719,0.8060191979433378,0.822435711940383,0.5069356650686284,0.5443619127059011
Victim Sex,xgboost,Unknown,50,0.34,0.06,0.17647058823529413,0.0,1.0,0.72,0.0,0.14,0.0,0.3752403846153844,0.0,0.0
